MW_Ver_Vis,"MW,Ver","MW,Vis","Ver,Vis",MW,Ver,Vis
CCCCDDD,,BAAAAAC,,DCCCCCD,CBBBBBD,DCCCCCB
AAAACCC,,,,CBBBBBD,ADDDDDB,CBBBBBD
DDDDDBB,,,,ADDDDDC,CBBBBBC,DDCCCCA
BBDDDDD,,,,ACCCCAA,CAAAAAD,DAAAAAC
DDDDDDB,,,,BDDDDDB,BAAAAAD,BAAAAAB
CCCCCCC,,,,ACCCCCA,CBBBBBA,CBBBBBA
ABBBBBB,,,,AACCCCA,DAAAAAD,DAAAAAB
BBBBBAA,,,,DAAAAAD,CDDDDDC,CAAAAAC
DDAAAAA,,,,ADDDDDA,,DCCCCAA
AAAAADD,,,,DBBBBBA,,CAAAAAB
BDDDDDD,,,,,,ABBBBBA
DDDDDDA,,,,,,
DCCCCCC,,,,,,
DDDDAAA,,,,,,
BBBBBBD,,,,,,
AAAADDD,,,,,,
CDDDDDD,,,,,,
CCCDDDD,,,,,,
BBBBBBA,,,,,,
CCCAAAA,,,,,,
DDDDDCC,,,,,,
ACCCCCC,,,,,,
DDDDDDD,,,,,,
CCDDDDD,,,,,,
AAAAAAB,,,,,,
DDDDCCC,,,,,,
CAAAAAA,,,,,,
AADDDDD,,,,,,
AAAAACC,,,,,,
AAABBBB,,,,,,
CCCBBBB,,,,,,
BBBBBBC,,,,,,
BBBBBCC,,,,,,
AAAAAAD,,,,,,
CCCCCAA,,,,,,
CCCCAAA,,,,,,
CCCCCCA,,,,,,
DDDCCCC,,,,,,
BBCCCCC,,,,,,
BBBBAAA,,,,,,
BBBAAAA,,,,,,
CCCCCCD,,,,,,
AACCCCC,,,,,,
CCAAAAA,,,,,,
BBAAAAA,,,,,,
BBBBBBB,,,,,,
AAAABBB,,,,,,
CCCCBBB,,,,,,
CCCCCCB,,,,,,
DDDAAAA,,,,,,
CCCCCBB,,,,,,
BBBCCCC,,,,,,
BBBBBDD,,,,,,
BAAAAAA,,,,,,
ADDDDDD,,,,,,
DDBBBBB,,,,,,
BBBDDDD,,,,,,
BBBBDDD,,,,,,
DDDDDDC,,,,,,
DDDBBBB,,,,,,
DAAAAAA,,,,,,
CCCCCDD,,,,,,
CBBBBBB,,,,,,
AABBBBB,,,,,,
AAAAAAC,,,,,,
DDDDDAA,,,,,,
DDCCCCC,,,,,,
DDDDBBB,,,,,,
AAACCCC,,,,,,
BCCCCCC,,,,,,
AAAAAAA,,,,,,
BBBBCCC,,,,,,
AAADDDD,,,,,,
DBBBBBB,,,,,,
CCBBBBB,,,,,,
AAAAABB,,,,,,
